2059,"1975 WEST 6TH   STREET                   , Brooklyn, NY, 11223",Match,Exact,"1975 W 6TH ST, BROOKLYN, NY, 11223","-73.97806,40.599445",59090617,L,36,47,40800,1001
2060,"1264 PROSPECT PLACE                      , Brooklyn, NY, 11213",Match,Exact,"1264 PROSPECT PL, BROOKLYN, NY, 11213","-73.93451,40.67346",59079739,R,36,47,34500,2002
2061,"1819 AVENUE U                            , Brooklyn, NY, 11229",Match,Exact,"1819 AVE U, BROOKLYN, NY, 11229","-73.95333,40.59918",59091513,L,36,47,57800,2001
2062,"1276 PUTNAM AVENUE                       , Brooklyn, NY, 11221",Match,Exact,"1276 PUTNAM AVE, BROOKLYN, NY, 11221","-73.91436,40.692562",59083017,R,36,47,41500,1000
2063,"1590 EAST 9TH STREET                     , Brooklyn, NY, 11230",Match,Exact,"1590 E 9TH ST, BROOKLYN, NY, 11230","-73.964386,40.6102",59089793,R,36,47,44200,1003
2064,"2603 AVENUE J                            , Brooklyn, NY, 11210",Match,Exact,"2603 AVE J, BROOKLYN, NY, 11210","-73.95057,40.626377",59082184,L,36,47,75000,1003
2065,"123 93RD STREET                          , Brooklyn, NY, 11209",Match,Exact,"123 93RD ST, BROOKLYN, NY, 11209","-74.03703,40.619587",59087378,L,36,47,5202,2000
2066,"173 EAST 4TH   STREET                    , Brooklyn, NY, 11218",Match,Exact,"173 E 4TH ST, BROOKLYN, NY, 11218","-73.97737,40.64822",59080455,L,36,47,50000,2004
2067,"2111 AVENUE N                            , Brooklyn, NY, 11210",Match,Exact,"2111 AVENUE N, BROOKLYN, NY, 11210","-73.9534,40.616302",59089991,L,36,47,75800,2000
2068,"328 LAFAYETTE AVENUE                     , Brooklyn, NY, 11238",Match,Exact,"328 LAFAYETTE AVE, BROOKLYN, NY, 11238","-73.962296,40.688614",642653717,R,36,47,23100,1000
2069,"928 77TH STREET                          , Brooklyn, NY, 11228",Match,Exact,"928 77TH ST, BROOKLYN, NY, 11228","-74.017105,40.624256",59087690,R,36,47,20600,2002
2070,"435 76TH   STREET                        , Brooklyn, NY, 11209",Match,Exact,"435 76TH ST, BROOKLYN, NY, 11209","-74.02447,40.629593",59094271,L,36,47,13400,2002
2071,"1170 66TH   STREET                       , Brooklyn, NY, 11219",Match,Exact,"1170 66TH ST, BROOKLYN, NY, 11219","-74.00506,40.627132",59094915,R,36,47,21000,1000
2072,"441 PUTNAM AVENUE                        , Brooklyn, NY, 11221",Match,Exact,"441 PUTNAM AVE, BROOKLYN, NY, 11221","-73.9434,40.684803",59079194,L,36,47,26700,1000
2073,"149 14TH   STREET                        , Brooklyn, NY, 11215",Match,Exact,"149 14TH ST, BROOKLYN, NY, 11215","-73.992584,40.668",59075619,L,36,47,11700,2001
2074,"1704 64TH STREET                         , Brooklyn, NY, 11204",Match,Exact,"1704 64TH ST, BROOKLYN, NY, 11204","-73.991585,40.62095",59088306,R,36,47,25200,4001
2075,"934 78TH   STREET                        , Brooklyn, NY, 11228",Match,Exact,"934 78TH ST, BROOKLYN, NY, 11228","-74.017746,40.623657",59087676,R,36,47,20600,2003
2076,"8697 15TH AVENUE                         , Brooklyn, NY, 11228",Match,Exact,"8697 15TH AVE, BROOKLYN, NY, 11228","-74.011635,40.609352",59087858,L,36,47,17200,2000
